site_code,date,bay,A. felis,A. lineatus,A. mitchilli,A. xenica,C. boleosoma,C. arenarius,C. nebulosus,C. spilopterus,C. variegatus,Cyprinodontiformes,D. maculatus,Engraulidae,Eucinostomus sp.,E. lyricus,E. amblyopsis,E. argenteus,E. melanopterus,F. grandis,F. jenkinsi,Fundulidae,Gobiidae,G. oceanicus,G. bosc,Harengula sp.,L. rhomboides,L. griseus,L. xanthurus,M. beryllina,Menidia sp.,M. cephalus,M. curema,M. punctatus,M. undulatus,O. beta,P. cromis,P. latipinna,S. plagiusa,S. scovelli,Unid. Fish,F. aztecus,Farf sp. duorarum?,L. setiferus,Penaeidae,A. americanus,A. benedicti,A. cinereum,A. heterochaelis,Alpheus sp.,C. sapidus,C. similis,Caridean,C. vittatus,Crab,E. limosum,L. tenuicornis,Ocypodidae (megalopa),P. intermedius,P. pugio,P. vulgaris,Palaemonetes    sp.,Panopeidae (crab),P. herbstii,P. armatus,Portunidae (megalopae),S. reticulatum,Sesarmidae,Uca sp.
17,8/30/2016,Timbalier,,,,,3,,,2,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,28,,153,,,,1,,,102,,,1,,,6,,,41,113,15,0,,,57,,,13
18,8/30/2016,Timbalier,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,53,,,,2,,,170,,,,,,10,,,20,36,4,0,,,12,,,42
19,8/30/2016,Timbalier,,,3,,13,,5,1,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,21,,937,11,,,,,,23,,,,,,4,,,212,,95,0,,,78,,,3
20,8/31/2016,Timbalier,,,,,9,,,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,2,,20,,,,,,,3,2,,,,,,,,10,18,39,1,3,1,26,1,,5
21,8/31/2016,Timbalier,,,1,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,61,,,,1,,,15,,,,,,6,,,6,30,11,0,2,,103,,,1
22,8/31/2016,Timbalier,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13,,70,,,,1,,,34,,,,,,,,,34,2,7,0,,,67,1,,10
23,8/31/2016,Timbalier,,,,2,10,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,8,,26,,,,3,,,38,,,,,,1,,15,35,4,39,4,1,,149,,,11
24,8/31/2016,Timbalier,,1,,,15,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,12,,54,,,5,,,,23,,,,,,,,,59,,11,0,3,,66,,,16
25,8/31/2016,Timbalier,1,,,,4,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,20,,44,,,,,,,30,,,,,,4,,,5,,5,0,,,33,,,19
26,8/31/2016,Timbalier,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,48,,,,,,,21,,,,,,,,,29,2,8,0,2,,41,,2,11
27,8/31/2016,Timbalier,,,,,12,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,56,,12,,,,8,,,50,,,,,,8,,,38,8,44,0,1,,148,,,52
28,8/31/2016,Timbalier,,,,,6,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,13,,109,,,,4,,,39,,,1,,,3,,,44,2,18,0,,,22,,,27
29,8/31/2016,Timbalier,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,4,,2,,,,,,,,,,7,,127,,,,,,,7,,,,,,,,21,59,,26,0,1,,30,,,5
30,9/1/2016,Timbalier,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,11,,130,,,,,,,9,,,,,,3,,,87,,12,0,,,31,,,68
31,9/1/2016,Timbalier,,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,1,1,,9,,,,,,,5,,,1,,,,,,1,,7,0,1,,6,,,99
32,9/1/2016,Timbalier,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,7,,,,34,,115,,,,,,,35,,,,,,1,,,16,,4,0,3,,78,,,22
33,9/1/2016,Timbalier,,,,,9,,1,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,3,,,,21,,88,,,,,,,31,,,,,,1,,,110,,11,0,,,59,,,27
34,9/1/2016,Timbalier,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,22,,36,,,,,,,24,,,,,,1,,,12,,6,0,,,21,,,20
35,9/1/2016,Timbalier,,,48,,12,,,1,,,,,,,1,,,,,,,,,10,,,,,,,,,,,,,2,,,2,,72,,,,,6,,43,,,,,,5,,,22,,12,0,,,44,,,8
36,9/1/2016,Timbalier,,,,,25,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,8,,87,,,,2,,,19,,,,,,1,,,73,,5,0,,,48,,,44
37,9/1/2016,Timbalier,,,,1,8,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,21,1,,,2,,71,,,,,,,22,,,,,,,,,5,,12,0,,,8,,,101
38,9/1/2016,Timbalier,,,,,10,,,,,,,,,1,,,1,1,,,,,,,1,1,,,,,,,,,,1,,,,5,,30,,,,,,1,59,,,,,,12,,,6,27,39,0,,,45,2,,1
39,9/1/2016,Timbalier,,,,,10,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,1,,,9,,104,,,,3,,,63,,,,,,1,,,32,1,9,0,1,,221,,,19
40,9/1/2016,Timbalier,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,17,,68,,,,,,,101,,,1,,,3,,2,13,,5,0,,,116,5,,26
41,8/29/2016,Barataria,,,,,,,,,,,,,,,,,,1,,2,1,,1,,,,,,,,,,,,,,1,,,16,,33,,,,,,,11,,,2,,,1,,,7,,4,0,,,5,,,7
42,8/29/2016,Barataria,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,3,,,,,,,,,,12,,2,2,,,,,,4,,,,,,1,,,,,1,0,,,9,,,
43,8/29/2016,Barataria,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,6,,5,,,,,,,3,,,,,,,,1,,,,0,,,9,,,1
44,8/29/2016,Barataria,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,33,,,,,,,2,,,,,,,,,1,,,0,,,6,,,3
45,8/29/2016,Barataria,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,2,,,,,,,4,,,,,,,,,1,,3,0,1,,,,,
46,8/29/2016,Barataria,,,1,,3,,,,,,,,,,,,,2,,,,,4,,,,,2,,,,,,,,,1,,,3,,15,,,,,,,4,,,1,,,1,,,14,6,16,0,,,2,,,
47,8/30/2016,Barataria,,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,3,,,,,,,,1,,,,9,,7,,,,,,,3,,,,,,,,,3,,,0,,,4,,,
48,8/30/2016,Barataria,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,9,,,,40,,40,,,,,,,3,,,,,,4,,,25,3,3,0,,,5,,,
49,8/30/2016,Barataria,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,13,,,1,,,2,,,,2,3,23,3,,,,,
50,8/31/2016,Barataria,,,,,8,1,1,,,,,,,,,,,,,,,,1,,,,,12,,,,,,,,,,,,32,,11,3,4,,,,,1,3,,5,,,3,,,10,,8,0,,,14,,,
51,8/31/2016,Barataria,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,14,,48,2,,,,,,5,,,,,,,,,,2,4,0,,,5,,,
52,8/31/2016,Barataria,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,14,,16,,,,,,,3,,,,,,,,,1,4,5,0,1,,23,,,
53,8/31/2016,Barataria,,,,,3,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,1,,9,,41,,,,,,,11,,,,,,1,,,2,,3,0,,,31,,,
54,8/31/2016,Barataria,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,48,3,,,,,,4,,,,,,,,,4,,,0,,,23,,,
55,8/31/2016,Barataria,,,,,5,,,,,,,,,,,,,,,,,,2,,1,,2,,,,,,1,,,,,,,8,,4,,,,,,,4,1,,,,,11,,,,16,5,0,1,,11,,,
56,8/31/2016,Barataria,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,39,,2,,,,,,,10,9,,1,,,35,,,35,12,19,0,,,65,1,,
57,8/31/2016,Barataria,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,12,,3,,,,,,,23,,,,,,1,,,10,,8,0,,,37,,,
58,8/31/2016,Barataria,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,3,,,,,,,10,,,,,,,,,1,,3,0,1,,8,,,
59,8/31/2016,Barataria,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,6,,24,,,,,,,3,,,,,,,,1,1,,5,1,1,,1,,,2
60,8/31/2016,Barataria,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,13,1,,,,,,,,,,,,,,,2,1,,0,,,3,,,
61,8/31/2016,Barataria,,,22,,19,,,,,,,,,1,,,,1,,,,1,,,,,,2,,,,1,,,,,,,,2,,42,,,,,,,20,,,,,,10,,,14,86,25,0,,,,,,1
62,8/31/2016,Barataria,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,6,,92,,,,,,,6,,,,,,1,,,1,4,6,0,1,,7,,,
63,8/31/2016,Barataria,,,2,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,13,,15,2,,,,,,15,,,,,,,,,10,,8,0,,,13,,,
64,8/31/2016,Barataria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,8,,,,,,,1,,,,,,1,,,,,,0,,,2,,,
65,9/1/2016,Barataria,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,7,,,,,,,,,,1,,,,,,3,,1,0,,,10,,,
66,9/1/2016,Barataria,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,8,1,28,1,,,,,,7,,,,,,2,,,,,8,0,,,6,,,
67,9/1/2016,Barataria,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,8,,,,,,,2,,,,,,,,,3,,,0,,,,,,
68,9/1/2016,Barataria,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,52,,,,,,,2,,,,,,7,,,3,1,7,0,,,15,,,
69,9/1/2016,Barataria,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,18,,7,,,,,,,1,,,,,,1,,,16,,12,0,,,8,,,
70,9/1/2016,Barataria,,,,,1,,,,,,,,2,1,,,,2,,,,,,,,2,,21,,,,,,,,3,,,,22,,43,3,,,,,,1,12,,,,,28,,,15,10,26,0,,,17,,,
71,9/1/2016,Barataria,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,26,,,,,,,,,,,,,,,,8,,,0,,,5,,,
72,9/1/2016,Barataria,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,6,2,,,,,,1,3,,,,,1,,,1,4,2,0,,,13,,,
73,9/1/2016,Barataria,,,,,3,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,10,,11,,,,,,,3,,,,,,28,,,13,,7,0,1,,20,,,
74,9/1/2016,Barataria,,,,,34,,,,,,,,,,,,,,,,,,2,,,,,10,,,,,,,,1,,,1,2,,79,,,,,,,6,,,,,,2,,,4,3,7,0,2,,23,,,
75,9/1/2016,Barataria,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,13,,23,,,,,,,6,,,,1,,6,,,4,,6,0,2,,5,,,1
76,9/1/2016,Barataria,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,2,,,,,,8,,,,,,,,,1,,2,,,,,2,,,0,,,,,,
77,9/1/2016,Barataria,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,18,,,,,,,,,,,,8,,46,,,,,,,3,,,,,,5,,,42,,14,0,,,10,,,1
78,9/1/2016,Barataria,,,1,,18,,,,,,,,,,,,,2,,,,,3,,,,,10,,,,,,,,1,,,,12,,49,,1,,,,,7,,,,,,5,,,9,22,53,0,,,13,,,
79,9/1/2016,Barataria,,,,,1,,,,,,,,,,,,,2,,,,,1,,2,,,4,,1,,,,,,,,,,7,,8,,,,,,,2,,,,1,,6,,,,1,13,0,,,2,,,
80,9/1/2016,Barataria,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,26,,66,,,,,,,11,,,,,,13,,,4,,14,0,,,21,,,
