ProjectName,SampleNumber,StudySite,Date,Time,GPSLatitude,GPSLongitude,GearType,AreaSampled,FieldSalinity_in_ppt,LaboratorySalinity_in_ppt,WaterTemperature_in_°C,Dissolved_Oxygen_in_ppm,Turbidity_in_NTU's,Distance_to_Marsh_Edge_in_m,Distance_to_Seagrass_Edge_in_m,Inside_Depth_One_in_cm,Inside_Depth_Two_in_cm,Inside_Depth_Three_in_cm,Inside_Depth_Four_in_cm,Inside_Depth_Five_in_cm,GeneralHabitat,PhysicalHabitat,DominantPlantSpecies,MarshSeagrassType,MiscDescriptor,GeneralHabitatComments,PlantBiomass_in_grams,PlantWetBiomass_in_grams,PlantDryBiomass_in_grams,StemCount,VegCover,PlantComments
Barataria Bay Fall 2006,BBF-2006-074,Caminida Bay side,10/4/2006,8:27 AM,29.25484,90.14532,1,1,21,24,27.10000038,2.299999952,20.19000053,1.100000024,-999,14,16,16,16,15,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,340,-999,
Barataria Bay Fall 2006,BBF-2006-075,Caminida Bay side,10/4/2006,9:02 AM,29.25893,90.12137,1,1,28,28,26.89999962,4.800000191,22.81999969,0.699999988,-999,44,50,46,47,48,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-076,Caminida Bay side,10/4/2006,9:24 AM,29.23554,90.11772,1,1,29,28,27.89999962,5.699999809,58.11999893,0.699999988,-999,22,25,23,20,20,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,314,-999,
Barataria Bay Fall 2006,BBF-2006-077,Caminida Bay side,10/4/2006,9:48 AM,29.23524,90.12504,1,1,27,21,28.20000076,6,28.53000069,1.200000048,-999,52,52,51,55,60,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,Oyster reef,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-078,Caminida Bay side,10/4/2006,10:14 AM,29.23308,90.13137,1,1,30,30,27.60000038,5.400000095,46.47999954,0.699999988,-999,25,23,23,37,26,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,374,-999,
Barataria Bay Fall 2006,BBF-2006-079,Caminida Bay side,10/4/2006,10:41 AM,29.2275,90.11903,1,1,27,26,27.70000076,6.199999809,20.44000053,0.800000012,-999,47,50,52,56,56,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-080,Caminida Bay side,10/4/2006,11:07 AM,29.21858,90.12209,1,1,29,30,28.10000038,5.699999809,46.41999817,1.299999952,-999,22,24,22,22,23,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,305,-999,
Barataria Bay Fall 2006,BBF-2006-081,Caminida Bay side,10/4/2006,11:46 AM,29.19101,90.09754,1,1,27,27,29.29999924,7,29.18000031,1.399999976,-999,49,48,42,42,49,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-082,Caminida Bay side,10/4/2006,1:53 PM,29.22088,90.1773,1,1,26,25,28.89999962,5.5,14.5,1.200000048,-999,52,52,55,53,52,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-083,Caminida Bay side,10/4/2006,2:28 PM,29.23762,90.17287,1,1,25,26,29.10000038,5.099999905,87.95999908,1,-999,15,14,14,15,14,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,399,-999,
Barataria Bay Fall 2006,BBF-2006-084,Port Fourchon side,10/3/2006,7:58 AM,29.16846,90.22287,1,1,29,30,27.39999962,3.799999952,20.26000023,16.29999924,-999,65,66,66,67,67,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-085,Port Fourchon side,10/3/2006,8:30 AM,29.16647,90.19689,1,1,27,26,27.5,3.200000048,35.04999924,6.099999905,-999,74,74,74,73,75,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-086,Port Fourchon side,10/3/2006,10:01 AM,29.17571,90.19971,1,1,25,26,28.29999924,3.599999905,37.63000107,17.29999924,-999,79,79,74,73,75,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-087,Port Fourchon side,10/3/2006,10:29 AM,29.1795,90.20451,1,1,25,30,28.5,4.800000191,27.89999962,4.800000191,-999,61,62,62,64,66,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-088,Port Fourchon side,10/3/2006,10:53 AM,29.18173,90.21799,1,1,25,26,28.20000076,5.800000191,21.15999985,15.30000019,-999,82,82,83,85,85,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-089,Port Fourchon side,10/3/2006,11:12 AM,29.1856,90.20895,1,1,26,27,28.29999924,4.5,21.5,5.400000095,-999,50,50,50,50,51,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-090,Port Fourchon side,10/3/2006,11:34 AM,29.19065,90.20548,1,1,23,28,28.79999924,5,23.95000076,5.699999809,-999,64,64,65,65,65,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-091,Port Fourchon side,10/3/2006,12:29 PM,29.19355,90.21519,1,1,20,21,29.20000076,6,16.72999954,17.39999962,-999,80,80,80,79,79,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-092,Port Fourchon side,10/3/2006,12:56 PM,29.19864,90.20944,1,1,22,25,29.29999924,4.400000095,35.34999847,4.199999809,-999,49,50,52,52,54,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-093,Port Fourchon side,10/3/2006,1:19 PM,29.20392,90.21189,1,1,20,25,29.39999962,4.699999809,29.96999931,16.79999924,-999,79,79,79,80,81,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-094,Caminida Bay side,10/4/2006,8:23 AM,29.2146,90.15257,1,1,28,28,28,4.599999905,21.53000069,3.400000095,-999,98,98,97,93,93,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-095,Caminida Bay side,10/4/2006,8:57 AM,29.19005,90.13693,1,1,27,25,27.39999962,4.900000095,69.33999634,5.400000095,-999,58,59,59,59,60,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-096,Caminida Bay side,10/4/2006,9:22 AM,29.18087,90.13354,1,1,26,26,28.5,3.200000048,22.5,22,-999,65,65,65,63,56,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-097,Caminida Bay side,10/4/2006,10:27 AM,29.19,90.1033,1,1,25,25,28,5,18.96999931,18,-999,120,120,120,121,121,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-098,Caminida Bay side,10/4/2006,10:48 AM,29.21579,90.10297,1,1,23,22,28.39999962,5.699999809,25.26000023,21,-999,81,81,86,89,86,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-099,Caminida Bay side,10/4/2006,11:22 AM,29.24188,90.11247,1,1,25,25,28.89999962,6.199999809,38.56000137,3,-999,71,71,71,71,73,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-100,Caminida Bay side,10/4/2006,11:42 AM,29.24512,90.12855,1,1,24,25,28.20000076,6.099999905,40.13000107,22,-999,118,118,118,118,116,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-101,Caminida Bay side,10/4/2006,12:36 PM,29.22992,90.14639,1,1,22,23,28.79999924,6.300000191,35.29000092,5.5,-999,87,87,88,88,90,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-102,Caminida Bay side,10/4/2006,1:20 PM,29.25059,90.16294,1,1,22,25,29.5,6.199999809,43.81000137,20,-999,103,99,102,106,101,Open Water,Non Vegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-103,Caminida Bay side,10/4/2006,1:42 PM,29.2517,90.1711,1,1,24,23,29.5,6.599999905,21.20000076,6,-999,96,96,97,98,98,Open Water,Non Vegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-001,Port Fourchon side,4/30/2006,2:43 PM,29.16772,90.195,1,1,25,26,27.5,7.400000095,4.619999886,1.399999976,-999,43,34,41,45,34,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,62,70,
Barataria Bay Spring 2006,BBS-2006-002,Port Fourchon side,4/30/2006,3:08 PM,29.16608,90.19525,1,1,25,27,27.70000076,7.599999905,12.31999969,5.199999809,-999,75,75,76,76,79,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-003,Port Fourchon side,4/30/2006,3:37 PM,29.16462,90.19612,1,1,25,26,27.5,7.900000095,11.42000008,0.699999988,-999,64,65,67,62,70,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-004,Port Fourchon side,4/30/2006,4:02 PM,29.16125,90.19715,1,1,25,26,27.60000038,8.300000191,7.940000057,0.5,-999,36,36,40,39,35,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,111,100,Salicornia virginica: 5%; Spartina alterniflora: 95%
Barataria Bay Spring 2006,BBS-2006-005,Port Fourchon side,4/30/2006,4:27 PM,29.16588,90.19745,1,1,25,27,26.60000038,6.199999809,18.63999939,2.200000048,-999,58,56,58,62,60,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-006,Port Fourchon side,4/30/2006,4:53 PM,29.16852,90.1956,1,1,25,26,27.79999924,8.600000381,17.12999916,4.400000095,-999,59,60,58,61,61,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,Bottom covered green with hair algae
Barataria Bay Spring 2006,BBS-2006-007,Port Fourchon side,5/1/2006,10:40 AM,29.16399,90.19185,1,1,25,25,26.60000038,5.400000095,6.369999886,20.29999924,-999,78,80,79,80,80,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-008,Port Fourchon side,5/1/2006,11:06 AM,29.16378,90.19593,1,1,25,26,25.70000076,5.5,4.710000038,19.20000076,-999,66,69,68,68,66,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-009,Port Fourchon side,5/1/2006,11:24 AM,29.16623,90.1969,1,1,25,27,27.29999924,5.400000095,10.39999962,19.29999924,-999,84,84,85,84,84,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-010,Port Fourchon side,5/1/2006,11:51 AM,29.16533,90.19508,1,1,25,27,27.20000076,6.5,7.909999847,1,-999,21,24,16,21,33,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,143,40,
Barataria Bay Spring 2006,BBS-2006-011,Port Fourchon side,5/1/2006,12:19 PM,29.16061,90.19474,1,1,25,26,26.20000076,6.400000095,4.760000229,2.099999905,-999,66,66,67,64,67,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-012,Port Fourchon side,5/1/2006,1:11 PM,29.16574,90.18999,1,1,25,27,28.20000076,7.300000191,5.289999962,5.300000191,-999,72,74,72,71,71,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-013,Port Fourchon side,5/1/2006,1:46 PM,29.16987,90.1994,1,1,25,27,28,7.099999905,4.480000019,1.399999976,-999,73,66,64,70,64,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-014,Port Fourchon side,5/1/2006,2:08 PM,29.16953,90.20432,1,1,24,27,28,7.400000095,3.640000105,0.800000012,-999,35,35,33,36,36,Marsh,Vegetated,Salicornia virginica,Natural,M1,,,,,266,80,Salicornia virginica: 60%; Spartina alterniflora: 40%
Barataria Bay Spring 2006,BBS-2006-015,Port Fourchon side,5/1/2006,2:54 PM,29.16839,90.20008,1,1,25,27,28.10000038,7.599999905,2.160000086,20,-999,99,100,105,100,102,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-016,Port Fourchon side,5/1/2006,3:18 PM,29.16661,90.20419,1,1,25,25,28.29999924,8.100000381,2.529999971,4.300000191,-999,91,92,93,92,93,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-017,Port Fourchon side,5/1/2006,3:45 PM,29.17263,90.20166,1,1,25,25,28.10000038,7.099999905,5.869999886,18.60000038,-999,114,112,113,110,112,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-018,Port Fourchon side,5/1/2006,4:08 PM,29.17405,90.20222,1,1,25,25,28.70000076,7.800000191,4.639999866,2.400000095,-999,76,74,66,78,75,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-019,Port Fourchon side,5/2/2006,10:56 AM,29.17498,90.19904,1,1,25,26,27.20000076,5.099999905,3.24000001,7.400000095,-999,66,68,68,66,69,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-020,Port Fourchon side,5/2/2006,11:24 AM,29.17519,90.20277,1,1,25,26,26.20000076,5.699999809,9.31000042,0.899999976,-999,16,16,14,14,16,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,263,90,Spartina alterniflora: 90%; Wrack (debris): 10%
Barataria Bay Spring 2006,BBS-2006-021,Port Fourchon side,5/2/2006,12:01 PM,29.17621,90.20707,1,1,25,26,26.5,6,10.22999954,1.399999976,-999,74,75,75,68,67,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-022,Port Fourchon side,5/2/2006,12:53 PM,29.18113,90.20193,1,1,25,27,27.60000038,5.699999809,8.229999542,1,-999,23,19,25,39,28,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,244,80,
Barataria Bay Spring 2006,BBS-2006-023,Port Fourchon side,5/2/2006,1:28 PM,29.17759,90.19985,1,1,25,26,27.20000076,6.199999809,19.56999969,26.39999962,-999,93,94,93,94,93,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-024,Port Fourchon side,5/2/2006,1:55 PM,29.17994,90.20422,1,1,25,26,27.79999924,6.099999905,1.580000043,4.699999809,-999,71,69,71,70,71,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-025,Port Fourchon side,5/2/2006,2:16 PM,29.18379,90.20486,1,1,21,26,29,5.900000095,11.52999973,19.70000076,-999,68,68,69,67,67,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-026,Port Fourchon side,5/2/2006,2:43 PM,29.18653,90.20369,1,1,25,26,28.29999924,7.099999905,3.75999999,6.400000095,-999,85,86,82,83,84,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-027,Port Fourchon side,5/2/2006,3:24 PM,29.18492,90.20233,1,1,25,26,30.39999962,6.400000095,5.289999962,1.299999952,-999,25,30,23,27,27,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,245,100,Spartina alterniflora: 100%
Barataria Bay Spring 2006,BBS-2006-028,Port Fourchon side,5/2/2006,3:54 PM,29.18858,90.20341,1,1,25,27,29.20000076,6.599999905,4.679999828,1.399999976,-999,53,51,51,59,59,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-029,Port Fourchon side,5/2/2006,4:19 PM,29.18702,90.20657,1,1,25,27,29.39999962,5.300000191,13.89999962,0.899999976,-999,15,14,14,24,19,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,469,100,Spartina alterniflora: 70%; Distichilis spicata: 30%
Barataria Bay Spring 2006,BBS-2006-030,Port Fourchon side,5/2/2006,4:45 PM,29.1889,90.20844,1,1,25,26,29.20000076,7.300000191,13.30000019,1.200000048,-999,56,60,60,57,59,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-031,Port Fourchon side,5/3/2006,11:41 AM,29.198,90.2151,1,1,23,25,27.39999962,5.599999905,13.51000023,6.5,-999,78,79,81,85,86,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-032,Port Fourchon side,5/3/2006,12:07 PM,29.19472,90.21109,1,1,24,25,27.10000038,5.400000095,7.96999979,22.5,-999,77,77,80,80,80,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-033,Port Fourchon side,5/3/2006,12:37 PM,29.18945,90.21629,1,1,25,25,26.79999924,6.099999905,7.949999809,2.400000095,-999,52,54,51,53,48,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-034,Port Fourchon side,5/3/2006,1:31 PM,29.1845,90.21227,1,1,25,25,27.70000076,6.5,2.839999914,19.79999924,-999,92,92,93,93,92,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-035,Port Fourchon side,5/3/2006,1:58 PM,29.1799,90.21253,1,1,25,25,27,6.400000095,3.170000076,8.199999809,-999,82,87,80,86,86,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-036,Port Fourchon side,5/3/2006,2:23 PM,29.17863,90.21482,1,1,25,25,28.70000076,6.199999809,15.26000023,1.100000024,-999,21,20,20,20,20,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,178,70,70% vegetative cover composed of Spartina alterniflora: 95%; Salicornia virginica: 5%
Barataria Bay Spring 2006,BBS-2006-037,Port Fourchon side,5/3/2006,2:50 PM,29.17664,90.21191,1,1,24,25,28.10000038,7,0.100000001,19.10000038,-999,88,88,86,88,84,Open Water,Nonvegetated,Nonvegetated,Natural,SNB20,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-038,Port Fourchon side,5/3/2006,3:11 PM,29.17379,90.21477,1,1,24,25,27.79999924,7.099999905,25.10000038,5.800000191,-999,75,76,75,75,76,Open Water,Nonvegetated,Nonvegetated,Natural,SNB5,,,,,0,0,
Barataria Bay Spring 2006,BBS-2006-039,Port Fourchon side,5/3/2006,3:46 PM,29.17115,90.208,1,1,25,25,28.79999924,5.5,18.20000076,1.100000024,-999,25,23,25,21,28,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,118,60,
Barataria Bay Spring 2006,BBS-2006-040,Port Fourchon side,5/3/2006,4:09 PM,29.17005,90.21027,1,1,24,25,28.89999962,5.900000095,11.03999996,1.399999976,-999,44,48,48,50,49,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,8:44 AM,29.22245,90.13057,1,1,21,24,24.70000076,3.700000048,35,1.200000048,-999,25,21,20,21,25,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,232,-999,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,9:22 AM,29.22632,90.13109,1,1,21,24,24.29999924,1.299999952,23.5,3.200000048,-999,7,6,8,8,8,Marsh,Vegetated,Mixed Vegetation,Natural,M3,,,,,134,-999,Spartina alterniflora and Spartina patens
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-03,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,9:50 AM,29.22136,90.1358,1,1,20,24,25.20000076,3,19.79999924,1.299999952,-999,22,22,19,21,21,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,233,-999,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-04,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,10:34 AM,29.21224,90.10522,1,1,23,24,26.70000076,3.099999905,46.59999847,3,-999,5,6,6,4,6,Marsh,Vegetated,Spartina sp.,Natural,M3,,,,,249,-999,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-05,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,11:07 AM,29.2254,90.11035,1,1,23,24,26.5,4.400000095,35.70000076,0.800000012,-999,31,35,27,30,34,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,11:29 AM,29.2272,90.10692,1,1,22,24,26.10000038,2.5,31,1.299999952,-999,32,34,36,38,33,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-07,Wisner Wildlife Mgmt area & Lake Palourde,10/11/2005,12:00 PM,29.23901,90.11417,1,1,21,25,27,5.800000191,32.40000153,0.800000012,-999,25,24,25,32,35,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-08,Wisner Wildlife Mgmt area & Lake Palourde,10/12/2005,8:05 AM,29.17608,90.15533,1,1,24,24,24.89999962,4.900000095,49.40000153,0.899999976,-999,47,47,45,46,47,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-09,Wisner Wildlife Mgmt area & Lake Palourde,10/12/2005,8:26 AM,29.16991,90.15631,1,1,25,26,25,5.300000191,21.20000076,0.800000012,-999,54,53,53,62,58,Open Water,Nonvegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-10,Wisner Wildlife Mgmt area & Lake Palourde,10/12/2005,8:46 AM,29.17045,90.15137,1,1,24,24,25,5.199999809,9.43999958,5.199999809,-999,27,27,27,28,25,Marsh,Vegetated,Spartina alterniflora,Natural,M5,,,,,229,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Wisner Wildlife Mgmt area & Lake Palourde,10/12/2005,9:09 AM,29.17653,90.14677,1,1,24,24,24.89999962,5.5,9.229999542,2.900000095,-999,23,22,23,23,22,Marsh,Vegetated,Spartina alterniflora,Natural,M3,,,,,253,0,
Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Wisner Wildlife Mgmt area & Lake Palourde,10/12/2005,9:37 AM,29.17465,90.15078,1,1,22,24,25.39999962,4.400000095,81.69999695,0.699999988,-999,16,18,15,16,17,Marsh,Vegetated,Mixed Vegetation,Natural,M1,,,,,462,-999,Spartina alterniflora and Salicornia lancifolia
