Title,common_name,code,functional_group,photo,desc,AphiaID ,valid_name 
02b3298a,saltmarsh periwinkle,LITIRR,other,species_list_Images/02b3298a.photo.190220.png,,419566,Littoraria irrorata 
9cedacb9,saltmarsh topminnow,FUNJEN,fish,species_list_Images/9cedacb9.photo.185358.png,,276031,Fundulus jenkinsi
765f6c18,sheepshead minnow,CYPVAR,fish,,,159285,Cyprinodon variegatus
1b016c50,shrimp parasite,PROPAN,other,species_list_Images/1b016c50.photo.225341.jpg,,157905,Probopyrus pandalicola
9c2e5667,southern flounder juvenile,PARLETJ,fish,species_list_Images/9c2e5667.photo.163204.png,,158829,Paralichthys lethostigma 
450a9bfa,speckled worm eel,MYRPUN,fish,species_list_Images/450a9bfa.photo.185455.png,,158643,Myrophis punctatus
66a87a1e,spotfin mojarra,EUCARG,fish,species_list_Images/66a87a1e.photo.193520.jpg,,159732,Eucinostomus argenteus
4b68bd3c,spotted seatrout,CYNNEB,fish,species_list_Images/4b68bd3c.photo.183916.jpg,,159312,Cynoscion nebulosus
7bdea95e,squareback marsh crab,ARMCIN,crustacean,species_list_Images/7bdea95e.photo.190615.png,,158049,Armases cinereum
ce577d8c,striped mullet,MUGCEP,fish,species_list_Images/ce577d8c.photo.185701.png,,126983,Mugil cephalus
456c4c29,thinstripe hermit,CLIVIT,crustacean,species_list_Images/456c4c29.photo.185615.png,,367528,Clibanarius vittatus
17cb4351,unknown arthropod,UNKART,crustacean,,,1065,arthropoda 
6e54b3f4,unknown crustacean,UNKCRU,crustacean,species_list_Images/6e54b3f4.photo.224548.jpg,,1066,crusacea 
a008a70f,unknown fish,UNKFSH,fish,,,293496,teleostei 
d5da5e8f,unknown polychete,UNKPOL,other,,,883,polychaeta
ae154d0e,white shrimp large,PENSETL,crustacean,species_list_Images/ae154d0e.photo.191247.png,,762818,Penaeus setiferus 
a7424935,white shrimp medium,PENSETM,crustacean,species_list_Images/a7424935.photo.191144.png,,762818,Penaeus setiferus 
569400cb,white shrimp small,PENSETS,crustacean,species_list_Images/569400cb.photo.173356.png,species_list_Images/569400cb.desc.173356.png,762818,Penaeus setiferus 
10198510,hardhead catfish,ARIFEL,,,,158709,Ariopsis felis
2B7E11C4,spot,LEIXAN,,,,159322,Leiostomus xanthurus
91DCD18A,atlantic crevalle jack,CARHIP,,,,126803,Caranx hippos
17E7D0CC,emerald sleeper,EROSMA,,,,280710,Erotelis smaragdus
1F5C699C,sand trout,CYNARE,,,,276077,Cynoscion arenarius
E6EF57A6,mudflat fiddler,MINRAP,,,,955271,Minuca rapax 
83C94E95,gulf marsh fiddler,MINLON ,,,,955264,Minuca longisignalis
D750ADA6,lemon shark,NEGBRE,,,,105800,Negaprion brevirostris
BEB93C5B,gulf toadfish,OPSBET,,,,275645,Opsanus beta
00F7AFC7,silver perch,BAICHR,,,,159303,Bairdiella chrysoura
617E4644,gulf pipefish,SYNSCO,,,,275232,Syngnathus scovelli
a47b8d2c,bay whiff,CITSPI,fish,,,159166,Citharichthys spilopterus
BFDB10D7,white mullet,MUGCUR,,,,159416,Mugil curema
344BE739,purple marsh crab,SESRET,,,,158458,Sesarma reticulatum
1B46FEE2,freshwater goby,CTESHU,,,,276490,Ctenogobius shufeldti 
E1E7C524,annelid,ANNELI,,,,882,Annelid
2A4F04A8,mudflat fiddler,UCARAP,,,,955271,Minuca Rapax
7BA8C480,Smallmouth flounder,ETRMIC,,,,158801,Etropus microstomus
9FC49496,Tidewater Mojarra),EUCHAR,,,,276420,Eucinostomus harengulus 
31209B9B,Black Drum,POGCRO,,,,159333,Pogonias Cromis
B55025F1,atlantic brief squid,LOLBRE,,,,574509,Lolliguncula brevis
01182F6B,Inshore lizard fish,SYNFOE,,,,158758,Synodus foetens
5F8B8626,Silver Jenny,EUCGUL,,,,159733,Eucinostomus gula
210D2BF3,Atlantic Spade Fish,CHAFAB,,,,159703,Chaetodipterus faber
FB823BF5,Mantis Shrimp,SQUEMP,,,,158466,Squilla empusa
ECFCE021,Yellowfin Menhaden,BRESMI,,,,158690,Brevoortia smithi
9DFDBE91,Gulf Menhaden,BREPAT,,,,275500,Brevoortia patronus
CEDA7B52,Southern Kingfish,MENAME,,,,159326,Menticirrhus americanus
AD443A74,Sheepshead,ARCPRO,,,,159238,Archosargus probatocephalus
