,Year,Taxon,Sites_Present,valid_name,taxonomic_rank,Unique_Sites_Sampled,Proportion_of_Sites
101,2022_2023,Micropogonias undulatus,2,Micropogonias undulatus,Species,112,0.018
102,2022_2023,Minuca spp.,50,,,112,0.446
103,2022_2023,Mugil cephalus,10,Mugil cephalus,Species,112,0.089
104,2022_2023,Myrophis punctatus,3,Myrophis punctatus,Species,112,0.027
105,2022_2023,Negaprion brevirostris,1,Negaprion brevirostris,Species,112,0.009
106,2022_2023,Neverita delessertiana,1,Neverita delessertiana,Species,112,0.009
107,2022_2023,Pachygrapsus gracilis,1,Pachygrapsus gracilis,Species,112,0.009
108,2022_2023,Pagurus longicarpus,1,Pagurus longicarpus,Species,112,0.009
109,2022_2023,Palaemon spp.,89,,,112,0.795
110,2022_2023,Panopeus spp.,45,,,112,0.402
111,2022_2023,Paralichthys lethostigma,3,Paralichthys lethostigma,Species,112,0.027
112,2022_2023,Penaeus aztecus,16,Penaeus aztecus,Species,112,0.143
113,2022_2023,Penaeus setiferus,110,Penaeus setiferus,Species,112,0.982
114,2022_2023,Petrolisthes armatus,3,Petrolisthes armatus,Species,112,0.027
115,2022_2023,Phrontis vibex,1,Phrontis vibex,Species,112,0.009
116,2022_2023,Poecilia latipinna,5,Poecilia latipinna,Species,112,0.045
117,2022_2023,Probopyrus pandalicola,16,Probopyrus pandalicola,Species,112,0.143
118,2022_2023,Sciaenops ocellatus,3,Sciaenops ocellatus,Species,112,0.027
119,2022_2023,Sesarma reticulatum,7,Sesarma reticulatum,Species,112,0.062
120,2022_2023,Solenosteira cancellaria,3,Solenosteira cancellaria,Species,112,0.027
121,2022_2023,Symphurus plagiusa,13,Symphurus plagiusa,Species,112,0.116
122,2022_2023,Syngnathus scovelli,1,Syngnathus scovelli,Species,112,0.009
123,2022_2023,Trinectes maculatus,2,Trinectes maculatus,Species,112,0.018
124,2022_2023,Urosalpinx cinerea,1,Urosalpinx cinerea,Species,112,0.009
