,Year,Taxon,Sites_Present,Unique_Sites_Sampled,Proportion_of_Sites
65,2016,Eleotris amblyopsis,3,80,0.038
66,2016,Engraulidae,1,80,0.012
67,2016,Eucinostomus,4,80,0.05
68,2016,Eucinostomus argenteus,3,80,0.038
69,2016,Eucinostomus melanopterus,1,80,0.012
70,2016,Eurytium limosum,1,80,0.012
71,2016,Evorthodus lyricus,9,80,0.112
72,2016,Fundulidae,1,80,0.012
73,2016,Fundulus grandis,39,80,0.488
74,2016,Fundulus jenkinsi,2,80,0.025
75,2016,Fundulus xenicus,8,80,0.1
76,2016,Gobiidae,4,80,0.05
77,2016,Gobionellus oceanicus,3,80,0.038
78,2016,Gobiosoma bosc,18,80,0.225
79,2016,Harengula,2,80,0.025
80,2016,Lagodon rhomboides,11,80,0.138
81,2016,Leander tenuicornis,54,80,0.675
82,2016,Leiostomus xanthurus,1,80,0.012
83,2016,Lutjanus griseus,6,80,0.075
84,2016,Menidia,1,80,0.012
85,2016,Menidia beryllina,22,80,0.275
86,2016,Micropogonias undulatus,1,80,0.012
87,2016,Minuca,44,80,0.55
88,2016,Mugil cephalus,14,80,0.175
89,2016,Mugil curema,3,80,0.038
90,2016,Myrophis punctatus,4,80,0.05
91,2016,Ocypodidae,1,80,0.012
92,2016,Opsanus beta,1,80,0.012
93,2016,Pagurus armatus,1,80,0.012
94,2016,Palaemon intermedius,7,80,0.088
95,2016,Palaemon pugio,70,80,0.875
96,2016,Palaemon vulgaris,34,80,0.425
97,2016,Palaemonetes,68,80,0.85
98,2016,Panopeidae,7,80,0.088
99,2016,Panopeus herbstii,25,80,0.312
100,2016,Penaeidae,15,80,0.188
101,2016,Penaeus aztecus,78,80,0.975
102,2016,Penaeus duorarum,2,80,0.025
103,2016,Penaeus setiferus,80,80,1.0
104,2016,Poecilia latipinna,20,80,0.25
105,2016,Pogonias cromis,1,80,0.012
106,2016,Portunidae,75,80,0.938
107,2016,Sesarma reticulatum,10,80,0.125
108,2016,Sesarmidae,1,80,0.012
109,2016,Symphurus plagiusa,9,80,0.112
110,2016,Syngnathus scovelli,2,80,0.025
111,2016,Unknown Fish,2,80,0.025
112,2022_2023,Alpheus heterochaelis,8,112,0.071
113,2022_2023,Amphipoda,1,112,0.009
114,2022_2023,Anchoa mitchilli,12,112,0.107
115,2022_2023,Archosargus probatocephalus,1,112,0.009
116,2022_2023,Armases cinereum,32,112,0.286
117,2022_2023,Bagre marinus,1,112,0.009
118,2022_2023,Bathygobius soporator,2,112,0.018
119,2022_2023,Callinectes sapidus,73,112,0.652
120,2022_2023,Citharichthys spilopterus,3,112,0.027
121,2022_2023,Clibanarius vittatus,22,112,0.196
122,2022_2023,Crassostrea virginica,2,112,0.018
123,2022_2023,Ctenogobius boleosoma,88,112,0.786
124,2022_2023,Ctenogobius shufeldti,1,112,0.009
125,2022_2023,Cynoscion nebulosus,3,112,0.027
126,2022_2023,Cyprinodon variegatus,1,112,0.009
127,2022_2023,Eucinostomus melanopterus,2,112,0.018
128,2022_2023,Evorthodus lyricus,10,112,0.089
129,2022_2023,Fundulus grandis,37,112,0.33
130,2022_2023,Fundulus jenkinsi,4,112,0.036
131,2022_2023,Fundulus similis,1,112,0.009
132,2022_2023,Fundulus xenicus,4,112,0.036
133,2022_2023,Gobiosoma bosc,8,112,0.071
134,2022_2023,Lagodon rhomboides,3,112,0.027
135,2022_2023,Littoraria irrorata,20,112,0.179
136,2022_2023,Menidia beryllina,24,112,0.214
137,2022_2023,Micropogonias undulatus,2,112,0.018
138,2022_2023,Minuca,3,112,0.027
139,2022_2023,Minuca longisignalis,47,112,0.42
140,2022_2023,Minuca rapax,5,112,0.045
141,2022_2023,Mugil cephalus,10,112,0.089
142,2022_2023,Myrophis punctatus,3,112,0.027
143,2022_2023,Negaprion brevirostris,1,112,0.009
144,2022_2023,Neverita delessertiana,1,112,0.009
145,2022_2023,Pachygrapsus gracilis,1,112,0.009
146,2022_2023,Pagurus armatus,3,112,0.027
147,2022_2023,Pagurus longicarpus,1,112,0.009
148,2022_2023,Palaemonetes,89,112,0.795
149,2022_2023,Panopeus obesus,42,112,0.375
150,2022_2023,Panopeus simpsoni,6,112,0.054
151,2022_2023,Paralichthys lethostigma,3,112,0.027
152,2022_2023,Penaeus aztecus,16,112,0.143
153,2022_2023,Penaeus setiferus,110,112,0.982
154,2022_2023,Petrolisthes armatus,3,112,0.027
155,2022_2023,Phrontis vibex,1,112,0.009
156,2022_2023,Poecilia latipinna,5,112,0.045
157,2022_2023,Probopyrus pandalicola,16,112,0.143
158,2022_2023,Sciaenops ocellatus,3,112,0.027
159,2022_2023,Sesarma reticulatum,7,112,0.062
160,2022_2023,Solenosteira cancellaria,3,112,0.027
161,2022_2023,Symphurus plagiusa,13,112,0.116
162,2022_2023,Syngnathus scovelli,1,112,0.009
163,2022_2023,Trinectes maculatus,2,112,0.018
164,2022_2023,Unknown Fish ,6,112,0.054
165,2022_2023,Urosalpinx cinerea,1,112,0.009
166,2022_2023,arthropoda,1,112,0.009
167,2022_2023,crusacea,2,112,0.018
168,2022_2023,polychaeta,5,112,0.045
169,2022_2023,teleostei,6,112,0.054
